/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
438   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 74    
440   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 75    
442   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_active_slot_map_buffer)                                           | 76    
444   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_overflow_flag_buffer)                                             | 77    
446   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_bases_uniform_buffer)                                       | 78    
448   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 79    
450   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 80    
452   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 81    
454   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 82    
456   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 83    
458   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 84    
460   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 85    
462   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 86    
464   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 87    
466   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 88    
468   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 89    
470   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 90    
472   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 91    
474   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 92    
476   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 93    
478   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 94    
480   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 95    
482   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 96    
484   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 97    
486   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 98    
488   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 99    
490   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 100   
492   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 101   
494   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 102   
